Semester,Age,Gender,Address,Region,Family_Size,Family_Income,First_Generation_Student,Parental_Status,Mother_Education,Father_Education,Mother_Job,Father_Job,Reason_for_Choosing_School,Guardian,GPA,Marks_Math,Marks_Physics,Marks_CS,Marks_English,Marks_Economics,Marks_Elective,Grade_1,Grade_2,Final_Grade,Number_of_Backlogs,Number_of_Failures,Attendance_Pct,Assignment_Score,Credits_Completed,Study_Time,Number_of_Absences,LMS_Activity_Score,Login_Frequency_Per_Week,Participation_Level,Class_Engagement_Score,School_Support,Family_Support,Extra_Paid_Class,Extra_Curricular_Activities,Wants_Higher_Education,Internet_Access,In_Relationship,Attended_Nursery,Travel_Time,Family_Relationship,Free_Time,Going_Out,Weekend_Alcohol_Consumption,Weekday_Alcohol_Consumption,Health_Status,Tuition_Fee_Payment_Status,Scholarship_Available,Financial_Aid,Dropped_Out
4,21,Male,Rural,Central,<=3,High,Yes,Apart,Primary,Higher,Healthcare,Teacher,Course,Father,7.2,58.9,46.0,48.0,47.1,49.3,46.2,11,14,12,1,0,88.7,42.2,80,3,2,69.1,3,Medium,5.5,No,Yes,No,Yes,Yes,Yes,No,Yes,1,1,5,2,4,2,3,Paid,No,No,0
1,17,Female,Rural,East,>3,Low,Yes,Apart,Primary,Higher,Services,Other,Other,Father,8.18,61.4,61.4,65.7,58.7,52.7,63.3,15,17,16,1,0,83.8,54.7,20,3,4,68.0,6,High,6.9,No,No,No,No,No,No,No,Yes,2,4,4,2,5,5,2,Paid,No,Yes,0
2,18,Female,Rural,East,>3,Low,Yes,Apart,Primary,Higher,Services,Other,Other,Father,8.58,61.6,70.4,55.0,66.1,70.2,49.5,14,17,16,0,0,94.0,44.6,48,1,5,89.6,6,High,6.3,No,Yes,No,Yes,No,No,No,Yes,2,4,5,4,1,4,2,Unpaid,No,Yes,0
3,18,Female,Rural,East,>3,Low,Yes,Apart,Primary,Higher,Services,Other,Other,Father,5.66,22.2,38.5,37.7,41.2,50.3,45.4,11,13,12,0,0,80.5,34.5,72,4,4,53.7,7,Medium,4.0,No,No,No,Yes,No,No,No,Yes,2,4,1,2,2,5,1,Partial,No,Yes,0
4,19,Female,Rural,East,>3,Low,Yes,Apart,Primary,Higher,Services,Other,Other,Father,5.23,38.8,34.1,30.6,34.3,47.0,40.5,10,10,10,1,0,78.7,34.0,80,2,5,66.9,2,Low,4.0,No,Yes,Yes,No,No,No,No,Yes,2,4,1,4,5,5,1,Unpaid,No,Yes,0
1,19,Male,Urban,North,<=3,Low,No,Apart,Unknown,Unknown,Other,Healthcare,Other,Mother,3.6,18.8,28.7,24.0,25.6,17.3,30.9,7,8,8,2,3,69.9,24.6,16,4,6,49.4,2,Low,4.4,No,Yes,No,No,No,Yes,No,Yes,4,4,4,2,3,3,5,Paid,No,No,0
2,20,Male,Urban,North,<=3,Low,No,Apart,Unknown,Unknown,Other,Healthcare,Other,Mother,4.28,29.4,30.2,38.6,30.8,20.8,21.7,10,8,9,0,1,84.8,40.1,48,3,6,59.6,4,Low,5.7,No,Yes,No,No,No,Yes,No,Yes,4,4,4,2,4,2,3,Paid,No,No,0
3,20,Male,Urban,North,<=3,Low,No,Apart,Unknown,Unknown,Other,Healthcare,Other,Mother,3.97,19.8,21.5,21.2,32.5,40.6,25.4,6,7,6,3,1,70.5,18.1,36,4,3,30.8,3,Low,2.5,No,Yes,No,No,No,Yes,No,Yes,4,4,3,1,1,1,1,Unpaid,No,No,1
4,21,Male,Urban,North,<=3,Low,No,Apart,Unknown,Unknown,Other,Healthcare,Other,Mother,2.84,21.2,25.3,24.8,28.9,21.3,29.3,6,4,5,1,1,73.0,14.1,80,4,0,64.9,4,Low,2.5,No,Yes,Yes,Yes,No,Yes,No,Yes,4,4,5,2,2,5,5,Partial,No,No,0
1,21,Female,Rural,North,<=3,Middle,No,Apart,Unknown,Higher,Services,Teacher,Other,Mother,10.0,75.2,83.4,75.9,86.6,69.7,76.0,20,16,18,0,0,85.5,75.3,24,4,5,59.7,3,High,7.0,No,Yes,No,Yes,Yes,Yes,No,No,2,1,5,2,1,2,3,Paid,No,No,0
2,22,Female,Rural,North,<=3,Middle,No,Apart,Unknown,Higher,Services,Teacher,Other,Mother,5.63,38.2,34.8,38.3,41.5,34.7,47.2,12,13,12,0,0,81.9,43.4,48,4,5,62.2,9,Medium,5.7,No,No,No,No,Yes,Yes,No,No,2,1,2,2,5,2,5,Paid,No,No,0
3,22,Female,Rural,North,<=3,Middle,No,Apart,Unknown,Higher,Services,Teacher,Other,Mother,6.3,46.6,45.9,45.1,48.4,49.4,46.7,8,13,10,0,0,83.2,40.4,72,3,4,63.3,3,Medium,5.9,Yes,Yes,No,Yes,Yes,Yes,No,No,2,1,2,2,1,3,1,Partial,No,No,0
4,23,Female,Rural,North,<=3,Middle,No,Apart,Unknown,Higher,Services,Teacher,Other,Mother,7.75,60.9,53.8,57.2,42.9,69.9,47.9,13,14,14,1,1,72.1,34.7,80,4,7,65.9,2,High,8.4,No,No,Yes,Yes,Yes,Yes,No,No,2,1,4,1,4,4,1,Unpaid,No,No,0
1,19,Male,Urban,West,<=3,Middle,No,Together,Primary,Secondary,Healthcare,Home,Home_Proximity,Mother,7.16,43.0,49.9,55.1,59.1,48.1,47.0,16,13,14,0,0,92.4,48.7,24,4,3,82.3,6,Medium,4.2,No,Yes,Yes,No,Yes,Yes,No,No,2,1,5,2,5,4,4,Unpaid,Yes,No,0
2,20,Male,Urban,West,<=3,Middle,No,Together,Primary,Secondary,Healthcare,Home,Home_Proximity,Mother,7.14,66.2,57.2,56.0,48.6,53.3,55.4,14,13,14,1,1,83.3,41.7,40,1,6,67.8,0,Medium,2.8,No,Yes,No,Yes,Yes,Yes,No,No,2,1,1,5,4,5,2,Unpaid,Yes,No,0
3,20,Male,Urban,West,<=3,Middle,No,Together,Primary,Secondary,Healthcare,Home,Home_Proximity,Mother,7.04,50.6,59.1,60.2,55.1,60.2,51.3,12,12,12,1,0,64.2,50.3,60,4,11,51.3,5,Medium,5.3,No,No,No,No,Yes,Yes,No,No,2,1,4,1,5,1,1,Partial,Yes,No,0
4,21,Male,Urban,West,<=3,Middle,No,Together,Primary,Secondary,Healthcare,Home,Home_Proximity,Mother,6.14,49.9,50.2,47.2,37.2,59.3,55.2,10,13,12,0,1,63.0,48.4,96,3,10,63.4,4,Medium,3.6,Yes,Yes,Yes,No,Yes,Yes,No,No,2,1,3,2,1,1,1,Paid,Yes,No,0
1,17,Male,Urban,Central,<=3,Low,No,Together,Primary,Unknown,Other,Other,Course,Mother,6.72,49.4,39.4,47.6,58.1,54.6,47.0,12,14,13,0,0,84.0,44.6,24,3,1,64.8,1,Medium,4.1,Yes,No,Yes,Yes,Yes,Yes,No,Yes,2,1,1,2,5,3,5,Unpaid,Yes,No,0
2,18,Male,Urban,Central,<=3,Low,No,Together,Primary,Unknown,Other,Other,Course,Mother,5.93,51.2,24.1,43.8,30.2,53.9,43.1,12,9,10,1,1,84.4,45.2,40,2,3,60.0,3,Medium,6.3,Yes,Yes,Yes,No,Yes,Yes,No,Yes,2,1,1,2,1,4,1,Unpaid,Yes,No,0
3,18,Male,Urban,Central,<=3,Low,No,Together,Primary,Unknown,Other,Other,Course,Mother,5.73,34.1,35.5,38.6,48.0,36.6,30.3,9,11,10,0,0,88.3,48.3,72,2,2,100.0,1,Medium,5.2,Yes,No,Yes,No,Yes,Yes,No,Yes,2,1,2,4,1,2,3,Unpaid,Yes,No,0
4,19,Male,Urban,Central,<=3,Low,No,Together,Primary,Unknown,Other,Other,Course,Mother,8.09,68.2,67.1,69.7,61.8,67.8,54.7,14,15,14,0,0,73.4,63.4,96,2,3,33.4,5,High,6.9,No,No,Yes,No,Yes,Yes,No,Yes,2,1,4,3,4,1,4,Unpaid,Yes,No,0
1,21,Female,Urban,North,>3,Middle,No,Together,Primary,Higher,Teacher,Services,Home_Proximity,Other,8.93,80.1,67.5,67.5,67.4,63.6,72.8,17,14,16,0,0,85.7,56.5,24,4,3,73.3,3,High,7.6,No,Yes,No,No,Yes,No,No,No,1,5,4,1,3,5,2,Partial,Yes,No,0
2,22,Female,Urban,North,>3,Middle,No,Together,Primary,Higher,Teacher,Services,Home_Proximity,Other,6.62,47.6,58.7,56.0,48.9,62.8,53.3,11,11,11,0,0,75.6,35.7,48,1,5,72.4,2,Medium,5.4,No,Yes,No,No,Yes,No,No,No,1,5,5,4,4,1,5,Partial,Yes,No,0
3,22,Female,Urban,North,>3,Middle,No,Together,Primary,Higher,Teacher,Services,Home_Proximity,Other,9.27,75.9,58.9,58.4,67.2,71.8,77.5,16,17,16,1,0,67.0,54.4,60,3,2,58.1,5,High,7.6,No,Yes,No,No,Yes,No,No,No,1,5,2,3,1,3,3,Partial,Yes,No,0
4,23,Female,Urban,North,>3,Middle,No,Together,Primary,Higher,Teacher,Services,Home_Proximity,Other,7.57,53.4,61.5,51.7,57.6,58.7,56.3,12,14,13,1,1,91.3,44.9,80,4,9,99.3,2,High,7.0,Yes,No,No,Yes,Yes,No,No,No,1,5,2,1,1,2,1,Paid,Yes,No,0
1,23,Male,Urban,North,<=3,Middle,Yes,Together,Higher,Higher,Healthcare,Teacher,Course,Other,6.62,56.2,52.1,46.6,38.5,37.3,40.5,11,14,12,0,1,77.0,40.2,24,2,3,66.7,5,Medium,7.1,No,No,Yes,Yes,No,Yes,No,Yes,1,4,3,3,2,1,3,Paid,No,Yes,0
2,24,Male,Urban,North,<=3,Middle,Yes,Together,Higher,Higher,Healthcare,Teacher,Course,Other,10.0,69.9,66.0,58.8,79.8,87.8,79.7,14,18,16,0,1,72.8,73.7,48,4,7,69.8,4,High,8.4,No,No,Yes,Yes,No,Yes,No,Yes,1,4,1,2,1,1,5,Paid,No,Yes,0
3,24,Male,Urban,North,<=3,Middle,Yes,Together,Higher,Higher,Healthcare,Teacher,Course,Other,6.44,61.7,31.9,36.3,36.0,35.3,50.0,15,13,14,1,0,78.5,31.4,60,2,5,63.6,6,Medium,5.8,No,Yes,No,Yes,No,Yes,No,Yes,1,4,3,2,3,2,2,Paid,No,Yes,0
4,25,Male,Urban,North,<=3,Middle,Yes,Together,Higher,Higher,Healthcare,Teacher,Course,Other,7.87,48.6,68.3,61.4,64.4,61.9,66.2,14,14,14,0,0,57.6,63.9,96,3,9,31.5,8,High,7.2,No,No,No,No,No,Yes,No,Yes,1,4,5,1,1,3,3,Paid,No,Yes,0
1,23,Female,Rural,East,>3,Low,Yes,Together,Higher,Unknown,Home,Other,Course,Other,10.0,67.6,72.9,72.0,58.4,82.1,71.3,18,20,19,0,0,100.0,91.4,24,4,3,92.7,5,High,9.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,2,1,3,2,5,4,4,Paid,No,Yes,0
2,24,Female,Rural,East,>3,Low,Yes,Together,Higher,Unknown,Home,Other,Course,Other,10.0,74.8,87.0,72.2,66.3,81.1,81.2,17,20,18,2,0,84.2,78.6,32,4,5,73.5,2,High,7.5,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,1,3,1,2,3,3,Partial,No,Yes,0
3,24,Female,Rural,East,>3,Low,Yes,Together,Higher,Unknown,Home,Other,Course,Other,10.0,73.1,63.9,75.1,72.1,77.7,70.4,18,19,18,0,0,91.4,69.9,72,4,3,80.4,3,High,7.4,No,Yes,No,No,Yes,Yes,Yes,Yes,2,1,3,2,1,3,3,Unpaid,No,Yes,0
4,25,Female,Rural,East,>3,Low,Yes,Together,Higher,Unknown,Home,Other,Course,Other,10.0,68.8,82.9,76.7,81.6,76.8,72.8,19,16,18,0,0,98.5,72.3,96,4,4,48.7,7,High,9.3,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,2,1,5,1,5,5,1,Unpaid,No,Yes,0
1,25,Male,Urban,South,>3,Low,Yes,Apart,Secondary,Higher,Home,Other,Reputation,Father,5.34,39.5,51.8,48.7,27.8,26.0,44.8,10,10,10,1,0,83.9,35.8,20,2,3,55.0,4,Low,5.8,No,Yes,No,Yes,Yes,Yes,No,No,3,1,1,2,1,2,2,Partial,Yes,No,0
2,26,Male,Urban,South,>3,Low,Yes,Apart,Secondary,Higher,Home,Other,Reputation,Father,6.25,46.8,52.7,58.9,42.8,47.4,53.0,12,13,12,0,0,64.6,42.2,48,1,11,51.1,5,Medium,3.8,No,No,No,No,Yes,Yes,No,No,3,1,2,4,4,1,5,Partial,Yes,No,0
3,26,Male,Urban,South,>3,Low,Yes,Apart,Secondary,Higher,Home,Other,Reputation,Father,4.8,32.3,48.1,39.5,52.1,30.4,28.5,6,7,6,0,0,74.1,27.3,72,4,4,63.4,3,Low,2.0,Yes,Yes,No,No,Yes,Yes,No,No,3,1,2,1,5,1,1,Paid,Yes,No,0
4,27,Male,Urban,South,>3,Low,Yes,Apart,Secondary,Higher,Home,Other,Reputation,Father,5.26,43.4,46.5,28.9,44.7,33.1,43.8,9,10,10,0,0,78.8,43.5,96,4,2,67.7,1,Low,4.2,Yes,No,No,No,Yes,Yes,No,No,3,1,4,1,4,1,3,Paid,Yes,No,0
1,19,Male,Urban,West,<=3,High,Yes,Together,Higher,Primary,Healthcare,Services,Course,Mother,9.62,65.5,52.3,73.6,75.0,63.6,79.2,17,20,18,2,0,84.4,78.3,16,3,3,76.7,1,High,5.1,No,No,Yes,Yes,No,Yes,No,No,1,2,3,1,2,5,2,Paid,Yes,No,0
2,20,Male,Urban,West,<=3,High,Yes,Together,Higher,Primary,Healthcare,Services,Course,Mother,6.19,38.1,44.0,45.8,45.4,69.1,41.6,12,12,12,0,0,76.8,40.7,48,3,4,55.5,1,Medium,6.7,No,Yes,Yes,Yes,No,Yes,No,No,1,2,5,3,3,2,4,Paid,Yes,No,0
3,20,Male,Urban,West,<=3,High,Yes,Together,Higher,Primary,Healthcare,Services,Course,Mother,7.66,43.4,70.1,71.6,41.0,60.9,46.0,13,13,13,0,1,72.9,60.0,72,4,3,77.9,1,High,8.4,No,No,No,No,No,Yes,No,No,1,2,2,2,2,5,2,Paid,Yes,No,0
4,21,Male,Urban,West,<=3,High,Yes,Together,Higher,Primary,Healthcare,Services,Course,Mother,6.92,42.6,49.8,57.2,36.8,44.3,44.6,12,12,12,0,1,76.6,49.2,96,4,2,66.5,3,Medium,5.5,No,Yes,Yes,Yes,No,Yes,No,No,1,2,5,1,5,1,3,Paid,Yes,No,0
1,23,Female,Rural,West,>3,Middle,No,Together,Higher,Secondary,Home,Services,Other,Other,6.03,44.7,54.2,48.0,45.5,32.2,43.7,10,13,12,0,0,73.9,55.7,24,2,8,59.3,4,Medium,3.8,No,Yes,Yes,Yes,No,Yes,No,No,4,5,3,4,2,4,3,Paid,No,No,0
2,24,Female,Rural,West,>3,Middle,No,Together,Higher,Secondary,Home,Services,Other,Other,3.31,33.7,28.3,6.1,23.4,26.8,6.0,8,5,6,0,2,84.4,16.1,48,4,2,56.5,4,Low,2.3,No,No,No,Yes,No,Yes,No,No,4,5,3,1,4,2,3,Paid,No,No,0
3,24,Female,Rural,West,>3,Middle,No,Together,Higher,Secondary,Home,Services,Other,Other,4.71,28.1,32.6,35.1,23.0,40.5,37.6,10,9,10,6,0,63.7,37.4,0,3,15,50.7,5,Low,6.7,Yes,Yes,No,No,No,Yes,No,No,4,5,1,1,1,2,2,Unpaid,No,No,1
4,25,Female,Rural,West,>3,Middle,No,Together,Higher,Secondary,Home,Services,Other,Other,3.88,19.4,12.1,32.8,35.5,34.3,33.0,5,10,8,2,1,64.1,24.4,64,2,12,62.7,3,Low,3.3,No,No,No,No,No,Yes,No,No,4,5,4,2,4,4,1,Partial,No,No,0
1,17,Female,Rural,South,>3,Low,No,Together,Unknown,Secondary,Healthcare,Services,Other,Other,9.24,77.6,75.6,57.6,67.6,71.0,66.0,15,17,16,0,0,92.5,63.2,24,3,7,70.2,1,High,6.1,No,No,Yes,Yes,Yes,Yes,No,Yes,4,4,4,1,2,5,3,Paid,Yes,Yes,0
2,18,Female,Rural,South,>3,Low,No,Together,Unknown,Secondary,Healthcare,Services,Other,Other,6.48,46.5,34.0,43.0,48.5,53.3,44.1,11,17,14,3,1,77.0,53.8,24,3,3,63.9,4,Medium,4.7,No,No,Yes,Yes,Yes,Yes,No,Yes,4,4,5,2,2,4,3,Paid,Yes,Yes,0
3,18,Female,Rural,South,>3,Low,No,Together,Unknown,Secondary,Healthcare,Services,Other,Other,8.44,47.0,73.3,66.7,60.0,53.7,66.0,16,18,17,1,0,72.8,61.5,60,4,4,69.8,6,High,4.9,No,Yes,Yes,Yes,Yes,Yes,No,Yes,4,4,5,2,4,1,5,Unpaid,Yes,Yes,0
4,19,Female,Rural,South,>3,Low,No,Together,Unknown,Secondary,Healthcare,Services,Other,Other,7.44,47.9,45.5,54.3,59.0,50.4,61.7,16,12,14,0,0,80.7,58.6,96,4,8,76.0,5,Medium,6.0,Yes,No,Yes,Yes,Yes,Yes,No,Yes,4,4,2,2,4,3,4,Unpaid,Yes,Yes,0
1,20,Female,Urban,North,>3,High,No,Apart,Secondary,Primary,Teacher,Teacher,Other,Mother,10.0,80.2,78.7,78.4,72.1,76.5,64.4,19,19,19,0,0,77.6,72.9,24,4,7,50.6,1,High,8.7,No,Yes,No,No,Yes,No,Yes,Yes,2,3,4,1,5,2,4,Partial,Yes,No,0
2,21,Female,Urban,North,>3,High,No,Apart,Secondary,Primary,Teacher,Teacher,Other,Mother,6.98,52.9,46.0,60.7,52.9,61.9,71.7,10,11,10,1,0,88.1,50.3,40,4,4,64.9,5,Medium,3.9,No,No,Yes,No,Yes,No,Yes,Yes,2,3,5,1,1,1,4,Paid,Yes,No,0
3,21,Female,Urban,North,>3,High,No,Apart,Secondary,Primary,Teacher,Teacher,Other,Mother,7.73,43.8,58.7,60.6,48.7,56.9,62.7,15,12,14,0,0,74.1,56.5,72,4,9,60.7,3,High,6.8,No,Yes,No,Yes,Yes,No,Yes,Yes,2,3,3,1,4,2,4,Paid,Yes,No,0
4,22,Female,Urban,North,>3,High,No,Apart,Secondary,Primary,Teacher,Teacher,Other,Mother,7.34,49.7,53.6,62.8,55.3,57.1,50.5,13,13,13,0,0,79.1,54.7,96,4,5,43.3,1,Medium,4.9,No,No,No,Yes,Yes,No,Yes,Yes,2,3,1,1,4,2,4,Paid,Yes,No,0
1,20,Male,Urban,East,<=3,High,Yes,Together,Secondary,Higher,Healthcare,Services,Reputation,Mother,5.69,62.5,16.0,46.9,58.8,58.0,46.9,11,12,12,0,0,62.4,40.6,24,4,12,56.0,4,Medium,4.3,No,No,Yes,No,No,Yes,Yes,Yes,4,5,2,2,1,2,3,Partial,No,Yes,0
2,21,Male,Urban,East,<=3,High,Yes,Together,Secondary,Higher,Healthcare,Services,Reputation,Mother,5.7,49.2,38.8,34.0,34.8,35.4,48.8,10,10,10,3,0,84.1,36.8,24,3,4,72.8,7,Medium,5.3,No,Yes,No,Yes,No,Yes,Yes,Yes,4,5,2,2,2,1,5,Paid,No,Yes,0
3,21,Male,Urban,East,<=3,High,Yes,Together,Secondary,Higher,Healthcare,Services,Reputation,Mother,4.91,39.6,33.0,38.7,49.3,31.8,50.6,12,9,10,2,0,70.9,33.5,48,2,2,60.4,7,Low,3.5,No,No,No,Yes,No,Yes,Yes,Yes,4,5,2,2,1,3,5,Unpaid,No,Yes,0
4,22,Male,Urban,East,<=3,High,Yes,Together,Secondary,Higher,Healthcare,Services,Reputation,Mother,5.06,30.8,41.6,23.1,45.9,35.0,39.0,11,9,10,1,0,64.8,32.4,80,2,8,56.1,5,Low,4.3,No,Yes,No,Yes,No,Yes,Yes,Yes,4,5,3,4,2,2,4,Partial,No,Yes,0
1,21,Female,Urban,East,>3,Middle,Yes,Apart,Higher,Higher,Other,Home,Reputation,Father,10.0,84.5,85.3,71.8,68.4,82.3,85.6,18,20,19,0,0,88.7,57.1,24,2,4,61.7,5,High,4.4,Yes,Yes,No,No,Yes,Yes,No,No,1,5,4,3,3,1,5,Paid,Yes,Yes,0
2,22,Female,Urban,East,>3,Middle,Yes,Apart,Higher,Higher,Other,Home,Reputation,Father,7.95,72.2,62.5,55.4,63.4,67.8,56.2,15,17,16,1,0,88.2,67.1,40,4,2,60.7,6,High,5.2,Yes,No,No,Yes,Yes,Yes,No,No,1,5,1,2,2,1,3,Paid,Yes,Yes,0
3,22,Female,Urban,East,>3,Middle,Yes,Apart,Higher,Higher,Other,Home,Reputation,Father,9.06,70.7,84.4,71.0,68.5,81.3,67.7,16,16,16,0,0,84.7,73.0,72,4,4,70.0,4,High,6.3,No,Yes,Yes,Yes,Yes,Yes,No,No,1,5,4,2,2,3,2,Paid,Yes,Yes,0
4,23,Female,Urban,East,>3,Middle,Yes,Apart,Higher,Higher,Other,Home,Reputation,Father,8.46,63.9,71.3,59.5,73.5,55.8,65.5,14,15,14,0,1,89.4,66.0,96,4,9,77.5,7,High,7.4,No,Yes,Yes,No,Yes,Yes,No,No,1,5,5,2,2,3,4,Paid,Yes,Yes,0
1,23,Male,Rural,West,>3,Middle,No,Apart,Unknown,Secondary,Other,Other,Home_Proximity,Mother,3.48,27.7,17.9,42.8,33.5,37.6,46.6,4,6,5,2,3,84.6,11.9,16,4,3,72.9,2,Low,3.7,Yes,No,No,No,Yes,Yes,No,Yes,3,2,2,1,4,4,3,Paid,Yes,No,0
2,24,Male,Rural,West,>3,Middle,No,Apart,Unknown,Secondary,Other,Other,Home_Proximity,Mother,3.15,24.5,23.3,28.4,19.9,16.8,20.0,4,7,6,1,3,74.7,31.8,40,1,4,45.5,1,Low,1.3,No,Yes,No,Yes,Yes,Yes,No,Yes,3,2,5,4,4,2,3,Unpaid,Yes,No,1
3,24,Male,Rural,West,>3,Middle,No,Apart,Unknown,Secondary,Other,Other,Home_Proximity,Mother,5.57,42.1,40.4,29.2,37.3,32.4,40.4,12,12,12,1,0,64.2,31.3,60,4,12,35.7,3,Medium,4.1,No,Yes,No,Yes,Yes,Yes,No,Yes,3,2,2,1,4,5,3,Paid,Yes,No,0
4,25,Male,Rural,West,>3,Middle,No,Apart,Unknown,Secondary,Other,Other,Home_Proximity,Mother,5.61,41.0,36.8,47.3,36.9,36.6,40.1,8,11,10,0,0,57.6,38.6,96,2,18,52.6,5,Medium,3.8,No,No,No,Yes,Yes,Yes,No,Yes,3,2,2,2,1,3,5,Unpaid,Yes,No,1
1,23,Male,Rural,East,<=3,High,Yes,Apart,Unknown,Higher,Services,Services,Course,Mother,4.51,39.2,29.8,15.5,33.8,36.1,36.9,8,10,9,3,0,91.0,32.0,12,2,5,92.1,4,Low,5.0,No,No,Yes,No,Yes,Yes,No,No,3,4,4,4,4,1,2,Partial,No,No,1
2,24,Male,Rural,East,<=3,High,Yes,Apart,Unknown,Higher,Services,Services,Course,Mother,5.09,26.8,35.8,40.6,43.7,45.9,48.1,12,14,13,1,0,62.3,35.6,40,3,18,59.2,4,Low,5.3,No,Yes,No,No,Yes,Yes,No,No,3,4,4,3,3,2,1,Paid,No,No,0
3,24,Male,Rural,East,<=3,High,Yes,Apart,Unknown,Higher,Services,Services,Course,Mother,4.29,37.9,38.7,35.4,20.5,28.8,24.8,9,7,8,0,3,72.7,28.7,72,3,3,68.5,5,Low,3.5,Yes,Yes,Yes,No,Yes,Yes,No,No,3,4,4,2,4,4,4,Paid,No,No,0
4,25,Male,Rural,East,<=3,High,Yes,Apart,Unknown,Higher,Services,Services,Course,Mother,4.67,39.5,40.6,29.9,20.3,52.9,30.3,8,10,9,1,0,86.0,28.9,80,4,4,77.3,5,Low,4.3,No,No,No,Yes,Yes,Yes,No,No,3,4,4,1,1,3,1,Paid,No,No,0
1,20,Female,Rural,South,<=3,High,No,Apart,Secondary,Secondary,Home,Other,Course,Other,5.85,42.3,42.5,50.1,43.4,36.1,43.5,10,10,10,0,0,78.2,37.6,24,3,6,72.4,2,Medium,7.1,Yes,Yes,Yes,Yes,No,Yes,No,Yes,3,4,5,1,2,1,3,Paid,No,Yes,0
2,21,Female,Rural,South,<=3,High,No,Apart,Secondary,Secondary,Home,Other,Course,Other,4.39,37.7,29.2,22.3,34.0,41.5,23.7,9,8,8,3,1,79.3,31.4,24,1,4,61.8,4,Low,1.0,No,Yes,No,No,No,Yes,No,Yes,3,4,2,5,3,5,3,Partial,No,Yes,1
3,21,Female,Rural,South,<=3,High,No,Apart,Secondary,Secondary,Home,Other,Course,Other,6.31,54.9,44.8,47.4,36.3,27.6,59.6,10,12,11,0,1,81.9,36.4,72,3,2,57.5,6,Medium,5.5,No,Yes,Yes,Yes,No,Yes,No,Yes,3,4,3,3,3,1,2,Paid,No,Yes,0
4,22,Female,Rural,South,<=3,High,No,Apart,Secondary,Secondary,Home,Other,Course,Other,6.29,41.3,47.5,39.5,43.6,41.7,44.7,12,13,12,0,0,85.2,35.3,96,2,4,61.2,4,Medium,4.1,Yes,Yes,Yes,Yes,No,Yes,No,Yes,3,4,2,3,2,4,1,Paid,No,Yes,0
1,23,Male,Urban,North,>3,Middle,No,Apart,Unknown,Secondary,Home,Healthcare,Other,Other,8.43,54.2,66.5,68.9,72.6,64.2,55.9,13,17,15,0,0,83.7,74.1,24,4,2,80.9,3,High,6.9,No,No,No,No,Yes,No,No,Yes,4,1,4,2,4,1,4,Unpaid,No,Yes,0
2,24,Male,Urban,North,>3,Middle,No,Apart,Unknown,Secondary,Home,Healthcare,Other,Other,7.77,59.6,56.7,44.2,61.2,63.5,63.5,14,13,14,0,0,76.4,62.8,48,1,3,67.3,9,High,4.7,No,Yes,No,No,Yes,No,No,Yes,4,1,2,4,4,3,3,Paid,No,Yes,0
3,24,Male,Urban,North,>3,Middle,No,Apart,Unknown,Secondary,Home,Healthcare,Other,Other,8.89,57.8,52.4,80.8,72.1,63.2,82.2,18,15,16,1,0,77.6,56.3,60,3,1,71.8,6,High,7.7,No,Yes,Yes,No,Yes,No,No,Yes,4,1,4,1,4,4,4,Partial,No,Yes,0
4,25,Male,Urban,North,>3,Middle,No,Apart,Unknown,Secondary,Home,Healthcare,Other,Other,7.56,62.4,58.2,59.6,47.5,51.4,55.8,15,15,15,0,0,72.6,68.4,96,4,3,53.8,4,High,5.6,No,Yes,No,Yes,Yes,No,No,Yes,4,1,1,2,5,5,4,Unpaid,No,Yes,0
1,19,Female,Urban,South,<=3,Middle,No,Together,Primary,Primary,Healthcare,Healthcare,Other,Mother,6.81,61.5,56.2,55.4,62.8,55.8,36.0,14,12,13,0,0,84.3,45.8,24,4,6,60.2,1,Medium,6.2,Yes,No,Yes,No,Yes,Yes,Yes,No,2,1,2,2,4,3,5,Paid,Yes,No,0
2,20,Female,Urban,South,<=3,Middle,No,Together,Primary,Primary,Healthcare,Healthcare,Other,Mother,5.3,35.5,39.5,34.3,47.5,41.6,28.3,10,10,10,0,0,90.3,37.0,48,4,4,81.9,6,Low,5.1,No,Yes,Yes,Yes,Yes,Yes,Yes,No,2,1,4,2,3,1,4,Paid,Yes,No,0
3,20,Female,Urban,South,<=3,Middle,No,Together,Primary,Primary,Healthcare,Healthcare,Other,Mother,5.8,37.9,42.8,46.6,39.6,44.1,27.8,11,13,12,0,0,61.7,27.9,72,4,7,41.8,6,Medium,5.6,No,No,No,Yes,Yes,Yes,Yes,No,2,1,5,1,4,3,2,Paid,Yes,No,0
4,21,Female,Urban,South,<=3,Middle,No,Together,Primary,Primary,Healthcare,Healthcare,Other,Mother,6.76,43.1,55.5,43.2,49.1,43.5,50.9,11,14,12,0,0,77.1,41.6,96,2,3,65.2,6,Medium,5.2,No,No,No,Yes,Yes,Yes,Yes,No,2,1,5,3,3,1,5,Paid,Yes,No,0
